Base,ID,CG1,CG2
1,Nelder-Mead,52.232530000000075,-0.8989290000001109
2,Nelder-Mead,52.23253,-0.8989290000000063
2,Nelder-Mead,53.2005024240921,-1.9104166972458723
3,BFGS,52.232529992610544,-0.898929009267295
3,BFGS,55.809849401023065,-3.9118006978630295
3,BFGS,52.935409167234404,-1.745349281717094
